organization_name,organization_address,organization_city,organization_country,organization_state,organization_zip,organization_website,organization_description,donor_name,donor_email,item_name,item_description,item_quantity,donation_date,comments
"Hunt, Lee and Turner",47092 Singleton Corner,Brandonport,US,PA,48254,https://www.burch-hubbard.org/,Authority race enough call policy relationship notice second.,Martin Barron,martinbarron@example.net,Hot Chocolate,Hot Chocolate for donation.,16,2023-02-01,Positive common together indeed stuff.
Mayer Inc,65570 Nelson Islands,Floresville,US,TN,10547,http://www.richards-richardson.com/,See effort hit decision consider.,Tammy Burnett MD,tammyburnett@example.com,Peanut Butter,Peanut Butter for donation.,15,2023-06-10,Hot or skill story billion reality.
"Hunt, Lee and Turner",47092 Singleton Corner,Brandonport,US,PA,48254,https://www.burch-hubbard.org/,Authority race enough call policy relationship notice second.,Valerie Fitzpatrick,valeriefitzpatrick@example.com,Deodorant,Deodorant for donation.,20,2023-10-28,Name dark lead ability economy.
"Ward, Vasquez and Romero",92526 Middleton Fords,South Francisco,US,VI,75964,https://www.mccarthy-graves.com/,Nearly black actually majority.,Anthony Hughes,anthonyhughes@example.net,Baby Food,Baby Food for donation.,17,2023-10-07,Agent action participant form.
"Carpenter, Fuller and Frye",296 Joseph Path,Walkerbury,US,IL,83860,http://www.jones-vaughn.com/,Watch five past show protect.,Peter Walter,peterwalter@example.com,Tea,Tea for donation.,11,2023-08-12,View race hour admit point trade believe.
Mclean-Webb,202 Philip Circles,New Laura,US,OH,18646,https://gonzalez.com/,Cell there thought mother even develop whether line.,Tracy Villarreal,tracyvillarreal@example.net,Boxed Stuffing,Boxed Stuffing for donation.,10,2023-04-27,Development effort view book play.
"Berry, Meyers and Martin",71782 Murray Stream Apt. 963,South Williamport,US,CT,32458,https://www.singleton-gomez.com/,Value alone throughout voice.,Joe Lewis,joelewis@example.org,Diapers,Diapers for donation.,6,2023-01-20,Follow to former seat choose effort remain herself.
"Richardson, Walker and Smith",201 Brittney Hills,Ronaldfurt,US,WI,47289,https://williamson-mueller.net/,Fine attention local fund could find rest.,George Sellers,georgesellers@example.net,Instant Mashed Potatoes,Instant Mashed Potatoes for donation.,20,2023-07-12,Benefit set measure under.
Mayer Inc,65570 Nelson Islands,Floresville,US,TN,10547,http://www.richards-richardson.com/,See effort hit decision consider.,Debra Rodriguez,debrarodriguez@example.org,Canned Fruit,Canned Fruit for donation.,11,2023-07-07,Bill weight difference consumer future shake against though.
Ballard Inc,7132 Cindy Islands,Campbellport,US,CT,30756,http://dominguez-wright.org/,Perform society friend leg beat.,Mr. Kevin Knox,mr.kevin@example.com,Instant Mashed Potatoes,Instant Mashed Potatoes for donation.,21,2023-07-20,Ago skin perform meeting list bad data.
"Ward, Vasquez and Romero",92526 Middleton Fords,South Francisco,US,VI,75964,https://www.mccarthy-graves.com/,Nearly black actually majority.,James Kim,jameskim@example.net,Hot Chocolate,Hot Chocolate for donation.,22,2023-03-11,Plan at mean.
"Ford, Walters and Reyes",1921 Phelps Inlet,West Ricardoside,US,GA,65227,https://www.castillo-thomas.com/,Protect suggest oil window.,Philip Benson,philipbenson@example.net,Canned Beans,Canned Beans for donation.,21,2023-01-09,They he certainly thousand stock actually.
Brewer Inc,0088 Steven Parkways Apt. 953,Dunlapburgh,US,GA,47734,https://davis.info/,Miss myself no process partner which site already.,Kimberly Hall,kimberlyhall@example.com,Jelly,Jelly for donation.,22,2023-10-22,Week call agree.
Ballard Inc,7132 Cindy Islands,Campbellport,US,CT,30756,http://dominguez-wright.org/,Perform society friend leg beat.,Bryan Fletcher,bryanfletcher@example.org,Jelly,Jelly for donation.,21,2023-05-27,Family note campaign blue.
"Johnson, Sanchez and Costa",975 Briana Glen,Bergerberg,US,IN,84605,https://newton.info/,Fund fact though inside table name.,Matthew Sloan,matthewsloan@example.org,Hot Chocolate,Hot Chocolate for donation.,24,2023-09-27,Worker off memory majority support stock reflect mention.
Ballard Inc,7132 Cindy Islands,Campbellport,US,CT,30756,http://dominguez-wright.org/,Perform society friend leg beat.,Courtney Gates,courtneygates@example.org,Wipes,Wipes for donation.,6,2023-03-14,Training bed require safe pick.
David and Sons,58061 Robert Loop,West Staceyfort,US,KS,51848,https://collins.com/,Low such debate fight medical protect serious.,Jason Bruce,jasonbruce@example.org,Canned Gravy,Canned Gravy for donation.,14,2023-04-16,Federal but adult recent type chair.
Schneider Inc,2844 Smith Springs,East Reginaldborough,US,ID,71985,http://www.fisher.com/,Vote character stage debate four sort adult.,Krista Wang,kristawang@example.org,Deodorant,Deodorant for donation.,21,2023-10-10,Onto also ok visit door ahead.
"Johnson, Sanchez and Costa",975 Briana Glen,Bergerberg,US,IN,84605,https://newton.info/,Fund fact though inside table name.,Holly Moreno,hollymoreno@example.org,Coffee,Coffee for donation.,13,2023-06-02,Teach billion serious Mr accept.
